City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Albany,US,62.28,overcast clouds,42.6001,-73.9662,
1,Whittlesea,ZA,69.8,broken clouds,-32.1759,26.8244,Eddie's Nest B&B
16,Vaini,TO,69.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
17,Rikitea,PF,68.16,clear sky,-23.1203,-134.9692,People ThankYou
19,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
22,Port Elizabeth,ZA,62.89,clear sky,-33.918,25.5701,39 On Nile Guest House
28,Vao,NC,73.15,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
29,East London,ZA,63.54,few clouds,-33.0153,27.9116,Tu Casa
30,Plettenberg Bay,ZA,60.49,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
38,Cape Town,ZA,61.12,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
39,Bethel,US,72.52,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
40,Tiznit,MA,69.69,overcast clouds,29.5833,-9.5,
42,Mpika,ZM,68.63,scattered clouds,-11.8343,31.4529,Melodies Lodge
50,Chuy,UY,63.32,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
51,Rawson,AR,60.82,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
53,Minot,US,64.62,clear sky,48.2325,-101.2963,Noble Inn
60,Mantua,IT,65.01,overcast clouds,45.1667,10.7833,Hotel la Favorita
62,Goderich,CA,62.91,overcast clouds,43.7501,-81.7165,Harmony Inn
67,Port Alfred,ZA,62.19,broken clouds,-33.5906,26.891,The Halyards Hotel
70,Mar Del Plata,AR,60.82,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
72,Belmonte,BR,73.6,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
76,Pisco,PE,71.65,dust,-13.7,-76.2167,Hotel San Isidro Oficial
81,Namibe,AO,64.58,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
85,Huambo,AO,72.1,broken clouds,-12.7761,15.7392,Residencial Mãesidencial Mãe Lina
87,Hasaki,JP,63.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
93,Alghero,IT,71.69,scattered clouds,40.5589,8.3181,Smy Carlos V Alghero
96,Tateyama,JP,68.09,scattered clouds,34.9833,139.8667,Tateyama Seaside Hotel
97,Lata,PT,70.92,scattered clouds,40.1629,-8.3327,Casa Maquia
102,Porto Santo,PT,71.98,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
103,Kettering,US,71.76,overcast clouds,39.6895,-84.1688,Budget Inn
104,Sechura,PE,74.93,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
113,Arraial Do Cabo,BR,73.36,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
116,Nemuro,JP,61.83,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
117,Ponta Do Sol,PT,74.03,broken clouds,32.6667,-17.1,Hotel do Campo
120,Comodoro Rivadavia,AR,62.46,clear sky,-45.8667,-67.5,Austral Hotel
126,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,Le four à pain
129,Redmond,US,71.58,broken clouds,47.674,-122.1215,Seattle Marriott Redmond
130,Castro,BR,60.6,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
131,Cavalcante,BR,69.85,overcast clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
133,Hami,CN,72.23,clear sky,42.8,93.45,Laoyutang Resort
134,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
141,Appleton,US,63.19,broken clouds,44.2619,-88.4154,La Quinta Inn & Suites by Wyndham Appleton College Avenue
146,Luena,AO,71.6,overcast clouds,-11.7833,19.9167,Hotel Kandamba
151,Lompoc,US,73.54,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
153,Mareeba,AU,68.72,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
166,Tura,IN,72.57,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
169,Camana,PE,66.06,scattered clouds,-16.6228,-72.7111,Hostal Morales
171,Saint John,CA,63.63,broken clouds,45.2727,-66.0677,Delta Hotels by Marriott Saint John
180,Pala,TD,74.17,overcast clouds,9.3642,14.9046,Hotel Pala Palace
182,Carnarvon,AU,63.97,clear sky,-24.8667,113.6333,Hospitality Carnarvon
184,Kumasi,GH,73.45,moderate rain,6.6885,-1.6244,Okumah Hotels - kaase
185,Saint Anthony,US,69.89,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
191,Jamestown,US,61.02,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
194,Alice Springs,AU,73.22,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
203,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
204,Sambava,MG,70.09,clear sky,-14.2667,50.1667,Melrose
205,San Juan,AR,69.1,few clouds,-31.5375,-68.5364,Hotel Provincial
211,Zhicheng,CN,62.65,clear sky,30.2956,111.5047,Wangjiang Building
213,Santa Vitoria Do Palmar,BR,64.08,overcast clouds,-33.5189,-53.3681,Hostel Comodoro
221,Kiunga,PG,72.7,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
232,San Jeronimo,PE,63.34,scattered clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
234,Cidreira,BR,63.37,overcast clouds,-30.1811,-50.2056,Hotel Castelo
243,Abha,SA,73.65,few clouds,18.2164,42.5053,Abha Hotel
244,Celendin,PE,72.12,light rain,-6.8703,-78.1517,Villa Madrid
245,Canico,PT,74.03,scattered clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
248,Zambezi,ZM,74.91,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
249,Puerto Baquerizo Moreno,EC,68.99,broken clouds,-0.9,-89.6,Hotel los Algarrobos
250,Amudat,UG,74.3,scattered clouds,1.95,34.95,Silent Night Hotel
264,Shintomi,JP,73.89,overcast clouds,32.0785,131.4723,ホテルスイート
269,Caravelas,BR,71.96,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
274,Kendari,ID,72.32,overcast clouds,-3.945,122.4989,Hotel Wixel
280,Hervey Bay,AU,65.19,clear sky,-25.2986,152.8535,Shelly Bay Resort
284,Winkler,CA,63.37,clear sky,49.1817,-97.941,Quality Inn & Suites
288,Kushmurun,KZ,73.0,overcast clouds,52.4503,64.6311,Gostinitsa Pri Depo
291,Kapit,MY,73.04,light rain,2.0167,112.9333,Hotel Meligai Kapit
292,Shimoda,JP,71.37,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
293,Paramonga,PE,65.68,few clouds,-10.6667,-77.8333,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
299,Kibungo,RW,63.52,overcast clouds,-2.1597,30.5427,Kibungo - Centre St. Joseph Guest House
300,Pacific Grove,US,61.43,mist,36.6177,-121.9166,Lovers Point Inn
303,Salamanca,ES,61.63,broken clouds,40.8333,-6.0,Palacio Carrascalino
305,Shingu,JP,73.26,broken clouds,33.7333,135.9833,Shingu UI Hotel
307,Ambilobe,MG,71.02,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
308,Sitges,ES,70.27,clear sky,41.2351,1.8119,URH Sitges Playa
316,Praia Da Vitoria,PT,73.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
320,Carballo,ES,63.01,clear sky,43.213,-8.691,Pazo do Souto
326,Rapid Valley,US,73.63,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
328,Fukue,JP,74.34,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
329,Cordoba,AR,71.42,scattered clouds,-31.4135,-64.1811,Hotel Sussex
331,Bengkulu,ID,74.35,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
334,Noumea,NC,67.98,clear sky,-22.2763,166.4572,Hôtel Le Lagon
340,Tibati,CM,68.49,broken clouds,6.4667,12.6333,Tibati Hotel
342,Camacha,PT,69.22,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
344,Chimbote,PE,66.51,broken clouds,-9.0853,-78.5783,Hotel Briliá
346,Komsomolskiy,UZ,70.52,clear sky,40.4272,71.7189,Ikathouse
348,Tezu,IN,72.43,overcast clouds,27.9167,96.1667,Circuit House
350,Muros,ES,64.09,clear sky,42.7762,-9.0603,Apartment Av. Castelao
351,Coquimbo,CL,60.53,clear sky,-29.9533,-71.3436,Hotel San Juan
352,Ribeira Grande,PT,72.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
353,Roma,US,60.82,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
355,Jiangkou,CN,74.48,scattered clouds,25.4872,119.1986,DFM Hotel
357,Fort-Shevchenko,KZ,67.59,clear sky,44.5086,50.263,Oasis hotel Bautino
359,Southbridge,US,68.31,light rain,42.0751,-72.0334,Southbridge Hotel & Conference Center
363,Moose Factory,CA,68.0,broken clouds,51.2585,-80.6094,Moosonee Lilypad
371,Iguai,BR,69.03,overcast clouds,-14.7564,-40.0892,CadHotel
372,Santa Cruz De La Palma,ES,74.14,light intensity drizzle,28.6835,-17.7642,H10 Taburiente Playa
378,Rio Grande,BR,68.11,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
385,Constantine,DZ,65.61,light rain,36.365,6.6147,Grand Hotel Cirta
386,Yumbe,UG,66.67,clear sky,3.4651,31.2469,Antonio's Hotel
387,Bulancak,TR,64.22,few clouds,40.9372,38.2291,Başoğlu Bulancak Otel
395,Ferrol,ES,63.12,clear sky,43.4832,-8.2369,Hotel Spa Sercotel Odeón
400,Broome,US,64.71,overcast clouds,42.2506,-75.833,Chenango Valley State Park
402,Le Port,RE,69.8,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
403,Angoram,PG,72.01,scattered clouds,-4.0625,144.0661,
409,Richards Bay,ZA,74.95,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
413,Coos Bay,US,68.94,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
414,Superior,US,67.69,broken clouds,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
415,Mount Vernon,US,74.89,broken clouds,40.9126,-73.8371,Ramada by Wyndham Bronx
422,Kawalu,ID,70.97,broken clouds,-7.3817,108.2082,West Jontor
424,Rabo De Peixe,PT,71.11,broken clouds,37.8,-25.5833,Quinta das Giestas
425,Jinchang,CN,60.46,scattered clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
431,Neuquen,AR,66.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
436,Kabanjahe,ID,63.97,moderate rain,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
445,Grand Gaube,MU,72.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
447,Stanger,ZA,71.49,clear sky,-29.3282,31.2895,Ithala Bank (Stanger)
452,Milas,TR,65.55,clear sky,37.3164,27.7839,Milashan Hotel
455,Karratha,AU,73.92,clear sky,-20.7377,116.8463,ibis Styles Karratha
456,Tottori,JP,64.89,overcast clouds,35.5,134.2333,Hotel Monarque Tottori
459,Los Llanos De Aridane,ES,70.12,light intensity drizzle,28.6585,-17.9182,Valle Aridane
460,Wuxi,CN,68.95,overcast clouds,31.5689,120.2886,Wuxi Jinjiang Grand Hotel
463,Fukuma,JP,72.28,overcast clouds,33.7667,130.4667,Masago
466,Kamaishi,JP,63.66,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
467,Ilebo,CD,73.87,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
472,Antalaha,MG,67.95,light rain,-14.9003,50.2788,Hotel Vitasoa
478,Inhambane,MZ,73.38,few clouds,-23.865,35.3833,Oceano
482,Mbaiki,CF,73.54,light rain,3.8678,17.9892,Motel MBM
487,Mbandaka,CD,74.52,overcast clouds,0.0487,18.2603,Guest House Epervier
488,Wajima,JP,69.4,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
491,Saquarema,BR,73.54,scattered clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
492,Juan Lacaze,UY,71.11,overcast clouds,-34.4342,-57.4381,El templo de Papal
494,Pouembout,NC,69.6,clear sky,-21.1333,164.9,Camping de Tipenga
497,Galesong,ID,71.62,overcast clouds,-5.3166,119.3661,Sapriadi Appy
504,Changde,CN,66.0,broken clouds,29.0464,111.6783,Kangshida Hotel
512,Bismil,TR,71.33,clear sky,37.8486,40.6658,Hotel Dolay
513,Donji Milanovac,RS,63.7,overcast clouds,44.4627,22.1523,Dream Tricule
514,Port Moresby,PG,74.62,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
516,Puerto Del Rosario,ES,69.55,broken clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
517,Palafrugell,ES,67.42,overcast clouds,41.9174,3.1631,Hotel La Torre
520,Cervo,ES,61.97,few clouds,43.6702,-7.4101,Hotel Spa Galatea
524,Kisangani,CD,71.76,scattered clouds,0.5167,25.2,Grand Ramela Hotel
525,Korla,CN,70.83,scattered clouds,41.7597,86.1469,Gulisitan Hotel
529,Yima,CN,62.26,overcast clouds,34.7381,111.8839,Yima Hotel
530,Miyako,JP,61.57,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
533,Gravelbourg,CA,61.07,broken clouds,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
534,Morondava,MG,74.16,clear sky,-20.2833,44.2833,La Case Bambou
536,Derzhavinsk,KZ,73.9,overcast clouds,51.1,66.3167,Ooo.khim Baza
538,Imbituba,BR,62.51,light rain,-28.24,-48.6703,Praia Hotel Imbituba
544,Ucluelet,CA,62.1,broken clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
547,Kushima,JP,74.14,scattered clouds,31.4583,131.2333,Hanaoka
554,Birjand,IR,66.67,clear sky,32.8663,59.2211,Birjand Tourist Hotel
555,Sulina,RO,64.18,scattered clouds,45.1559,29.6536,Hotel Delta Est
556,Andapa,MG,60.01,few clouds,-14.65,49.65,Ramanandraibe Andapa
560,Saint-Pierre,RE,69.48,clear sky,-21.3393,55.4781,Alize Plage
563,Nagato,JP,69.73,overcast clouds,34.3833,131.2,いそう庵
564,Chaman,PK,73.35,clear sky,30.9236,66.4512,Niamat parda Center chaman
567,Kisiwani,TZ,69.94,broken clouds,-4.1333,37.95,Hashimu Kisiwani
573,Luanda,AO,71.6,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
576,Punta Alta,AR,61.65,overcast clouds,-38.8759,-62.0736,Center Hotel Punta Alta
577,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
580,Astoria,US,70.43,clear sky,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
584,Pergamino,AR,70.18,overcast clouds,-33.89,-60.5736,Hotel Fachinat
586,Marathon,US,63.09,overcast clouds,44.9,-89.7668,
591,Roblin,CA,61.61,clear sky,51.23,-101.3565,"Harvest Moon Inn, Roblin Manitboa"
596,Keningau,MY,70.92,overcast clouds,5.3378,116.1602,Sabindo Hotel
604,Grande Prairie,CA,60.98,broken clouds,55.1667,-118.8027,"Holiday Inn Express Grande Prairie, an IHG Hotel"
610,Antofagasta,CL,61.88,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
613,Urumqi,CN,72.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
614,Bowen,AU,72.95,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
618,Westport,US,74.26,broken clouds,41.1415,-73.3579,The Westport Inn
624,Dawlatabad,AF,71.56,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
628,Jiangyou,CN,64.17,overcast clouds,31.7667,104.7167,Shangping Shuyuan Inn
631,Margherita,IN,72.09,overcast clouds,27.2833,95.6833,Dehing Guest House
632,Edea,CM,73.99,overcast clouds,3.8,10.1333,Micotel Hotel
633,Koumac,NC,72.43,clear sky,-20.5667,164.2833,Le Monitel
634,Kagoro,NG,72.01,light rain,9.6,8.3833,Palm Garden Hotel
